Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Electricity,129.53,131.68,134.54,135.46,137.03,142.65,147.68,152.71,165.34,171.99,175.68,183.23,184.86,186.59,194.85,196.67,201.23,204.03,205.87,211.63,205.03,198.40,199.04,186.97,180.73,188.96,194.74,189.79,183.66,179.35,172.04,163.28,157.25,151.69,139.45,131.60,123.67,109.09,100.96,89.82,81.42,75.39,63.10,51.79,45.31,37.42
Stationary energy,66.17,66.95,67.47,69.37,69.35,71.24,71.25,73.21,73.35,74.46,74.80,75.13,76.66,78.63,80.18,82.24,81.43,81.97,84.40,83.26,83.57,85.83,89.38,93.84,93.62,89.60,90.33,94.03,97.25,98.97,99.91,101.75,103.67,103.73,103.13,101.88,102.04,102.58,101.26,99.31,96.39,95.98,92.76,89.39,86.97,83.15
Transport,61.37,60.80,61.81,63.38,64.87,68.22,70.09,71.39,71.60,72.43,74.03,73.97,75.49,77.96,81.02,82.05,83.34,85.29,86.32,87.19,88.65,91.27,91.81,93.16,93.12,95.26,96.25,97.87,100.15,100.20,93.18,90.19,90.94,98.04,101.94,102.19,102.45,102.57,102.44,102.13,101.58,100.29,99.47,98.44,96.92,95.31
Fugitives,40.31,39.66,41.60,40.43,38.25,39.93,39.48,42.49,43.73,40.55,44.01,44.00,42.72,40.97,40.80,42.79,43.64,46.63,45.92,45.59,45.33,43.73,44.48,45.16,43.10,48.27,49.53,51.55,54.51,55.85,53.57,48.80,48.20,47.39,48.91,49.79,50.35,50.44,49.55,47.43,46.47,47.82,45.42,41.74,41.02,39.01
Agriculture,92.10,91.26,88.32,86.07,86.04,82.28,84.49,85.70,85.44,85.40,88.72,87.63,87.44,81.71,85.25,85.97,84.28,80.29,77.55,77.75,75.10,79.93,81.44,81.70,82.03,78.94,77.87,81.86,80.58,75.07,72.64,78.25,79.24,82.22,80.30,78.96,80.57,80.47,79.44,80.00,79.76,79.62,79.68,79.72,79.73,79.69
Industrial processes,25.11,24.31,24.89,24.64,24.89,24.65,24.34,24.42,25.47,25.91,25.77,26.60,27.06,29.53,30.83,30.13,30.62,32.66,32.67,30.50,33.44,34.25,31.90,29.69,29.62,30.48,30.56,31.15,31.81,32.55,31.90,32.99,32.60,32.39,30.18,29.82,28.55,27.24,27.23,26.95,24.50,23.90,22.66,21.99,21.36,20.51
Waste,23.46,23.39,23.12,22.95,22.17,22.10,20.24,19.93,19.10,19.23,18.59,18.89,18.95,16.33,15.89,15.74,15.48,15.87,16.39,16.21,16.05,15.59,14.26,13.29,13.24,12.72,13.08,13.34,12.87,13.27,13.49,13.36,13.62,13.64,13.23,13.19,12.84,12.80,12.87,12.97,13.05,13.13,13.20,13.28,13.38,13.48
LULUCF,198.21,183.45,115.01,93.04,88.35,63.14,64.74,53.01,40.30,49.64,64.77,77.18,69.35,79.77,56.03,80.70,86.77,94.78,81.12,78.78,66.16,45.02,26.77,17.30,20.37,-3.32,-39.87,-49.77,-46.60,-49.39,-42.51,-63.86,-63.86,-63.86,-58.03,-55.29,-55.02,-54.62,-55.82,-57.58,-57.11,-56.66,-57.13,-57.71,-56.87,-55.87
