Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Electricity,129530000,131680000,134540000,135460000,137030000,142650000,147680000,152710000,165340000,171990000,175680000,183230000,184860000,186590000,194850000,196670000,201230000,204030000,205870000,211630000,205030000,198400000,199040000,186970000,180730000,188960000,194740000,189780000,183660000,179350000,172050000,163290000,156770000,153340000,152670000,144280000,135670000,129710000,110980000,81450000,58610000,58980000,52840000,49090000,50340000,36810000
Stationary energy,66170000,66950000,67470000,69370000,69350000,71240000,71250000,73210000,73350000,74460000,74800000,75130000,76660000,78910000,80510000,82240000,81430000,81920000,84380000,82900000,83220000,85460000,89010000,93630000,93320000,89730000,90480000,94200000,97480000,98910000,99680000,102310000,102110000,102050000,99370000,96150000,96440000,97040000,95300000,95350000,93240000,93530000,90770000,87810000,83750000,80080000
Transport,61370000,60800000,61810000,63380000,64870000,68220000,70090000,71390000,71600000,72430000,74030000,73970000,75490000,77870000,80980000,82020000,83270000,85130000,86930000,87160000,88620000,91250000,91790000,93130000,93090000,95230000,96230000,97850000,100150000,100200000,93180000,90100000,89760000,96650000,98480000,99640000,100050000,99640000,98560000,96970000,95220000,93420000,91670000,90120000,88530000,86990000
Fugitives,40310000,39660000,41600000,40430000,38250000,39930000,39480000,42490000,43730000,40550000,44010000,44000000,42720000,40970000,40800000,42790000,43640000,46770000,46070000,45750000,45510000,43960000,44690000,45430000,43390000,48560000,49850000,51830000,54880000,56220000,53860000,48630000,48080000,47770000,47820000,49540000,49400000,50530000,48970000,47090000,45360000,44830000,43000000,41310000,39100000,38010000
Agriculture,94960000,94380000,91510000,88870000,88780000,85390000,87270000,88430000,88490000,88280000,91720000,90840000,90390000,84930000,87970000,88890000,87910000,84370000,81230000,81260000,78780000,83400000,84760000,85230000,85580000,82540000,81180000,85930000,85000000,79530000,77370000,82390000,83220000,85520000,84630000,82480000,84350000,81970000,80430000,83500000,83220000,83330000,83450000,83550000,83640000,83710000
Industrial processes,25110000,24310000,24890000,24640000,24890000,24650000,24340000,24420000,25470000,25910000,25770000,26600000,27060000,29530000,30770000,30130000,30620000,32660000,32670000,30500000,33450000,34260000,31900000,29690000,29610000,30480000,30560000,31170000,31820000,32540000,31890000,32880000,32970000,32750000,32130000,31870000,31020000,29850000,28770000,28050000,27040000,26590000,25780000,25290000,24690000,23970000
Waste,23460000,23380000,23120000,22930000,22160000,22090000,20220000,19910000,19090000,19210000,18570000,18870000,18920000,16310000,15870000,15710000,15460000,15850000,16370000,16190000,16040000,15580000,14250000,13270000,13220000,12710000,13070000,13320000,12810000,13240000,13530000,13450000,13860000,13860000,13900000,13890000,13850000,13790000,13730000,13530000,13180000,12940000,12840000,12800000,12750000,12710000
LULUCF,178270000,157770000,113480000,92160000,81790000,60700000,55730000,41820000,44980000,59470000,69370000,78070000,78960000,79270000,46720000,74970000,106230000,80200000,65810000,57240000,63290000,30060000,4060000,14580000,4230000,-9650000,-60520000,-29390000,-58360000,-63500000,-61230000,-88530000,-88370000,-88370000,-88370000,-77330000,-72160000,-68300000,-65540000,-64980000,-63610000,-64280000,-63960000,-63670000,-62250000,-60840000
